word	translation	notes	date
zuerst	first / at first / first of all		2025-06-22 09:20:00
führen	to lead / guide / conduct / manage		2025-06-22 09:23:00
gegenseitig	mutual / each other		2025-06-22 09:26:00
notieren	to note down / to write down		2025-06-22 09:29:00
das Redemittel	expression / phrase	rede+mittel , speech tool	2025-06-22 09:32:00
das Studienfach	field of study	studium+fach	2025-06-22 09:35:00
der Beruf	proffession	calling	2025-06-22 09:38:00
arbeiten	to work 		2025-06-22 09:41:00
das Herkunftsland	country of origin 	herkunft + land : origin country	2025-06-22 09:44:00
das Heimatland	homeland	heimat + land	2025-06-22 09:47:00
Deutschland	Germany		2025-06-22 09:50:00
der Stich	stitch		2025-06-22 09:53:00
unbedingt	absolutely / definitely	un+bedingt : not conditional	2025-06-22 09:56:00
der Wunsch	wish		2025-06-22 09:59:00
die Bildung	education / formation	bilden + ung : forming/shaping	2025-06-22 10:02:00
die Grenze	border / boundary	Grenzen	2025-06-22 10:05:00
Indien	india		2025-06-22 10:08:00
indisches	indian		2025-06-22 10:11:00
die Abenteuersportart 	adventure sport	abenteuer+sport+art	2025-06-22 10:14:00
ausprobieren	to try out / to test	aus+probieren	2025-06-22 10:17:00
sonnig	sunny		2025-06-22 10:20:00
Wissenschaftler/in	scientist		2025-06-22 10:23:00
Doktor	doctor (title)		2025-06-22 10:26:00
die Promotion	doctoral degree		2025-06-22 10:27:00
promovieren	to do a PhD		2025-06-22 10:29:00
finanziell	financial / financially		2025-06-22 10:32:00
Unabhängigkeit	independence	un+abhängig+keit : not-being-dependent-ness	2025-06-22 10:35:00
reisen	to travel		2025-06-22 10:38:00
die Meditation	meditation		2025-06-22 10:41:00
meditieren	to meditate		2025-06-22 10:44:00
der Krieg	war	Kriege	2025-06-22 10:47:00
stoppen	to stop		2025-06-22 10:50:00
draußen	outside / outdoors	da + außen	2025-06-22 10:53:00
offenheit	openness		2025-06-22 10:56:00
der Unfall	accident	un+fall : negative case	2025-06-22 10:59:00
die Metallschaukel	metal swing		2025-06-22 11:02:00
das Knie	knee		2025-06-22 11:05:00
die Fliese	tile		2025-06-22 11:08:00
der Pool	swimming pool		2025-06-22 11:11:00
das Schwimmbecken	swimming pool		2025-06-22 11:14:00
das Badezimmer	bathroom		2025-06-22 11:17:00
das Waschbecken	sink / washbasin		2025-06-22 11:20:00
der Querstrich	horizontal stroke	quer+Strich 	2025-06-22 11:23:00
das Rezept	recipe / prescription	Rezepte	2025-06-22 11:26:00
das Blatt	leaf / sheet / page		2025-06-22 11:29:00
links	left		2025-06-22 11:32:00
rechts	right		2025-06-22 11:35:00
oben	up 		2025-06-22 11:38:00
unten	down		2025-06-22 11:41:00
das Gebirge	mountain range / group of mountains		2025-06-22 11:44:00
der Schneeschuh	snowshoe	Schneeschuhe	2025-06-22 11:47:00
bayerische	bavarian		2025-06-22 11:50:00
das Gericht 	court / dish	Gerichte , richten	2025-06-22 11:51:00
der Durchschnitt	average / mean / cross-section	 durch + Schnitt : a cut through	2025-06-22 11:53:00
laut Statistik	according to statistics		2025-06-22 11:56:00
die Laugenstange	pretzel stick / lye roll	Lauge + Stange : dipped in Natronlauge before baking	2025-06-22 11:59:00
Tagesbesucher	day visitor		2025-06-22 12:02:00
die Bergumgebung	mountain surroundings	Berg + Umgebung	2025-06-22 12:05:00
die Scheibe	slice		2025-06-22 12:08:00
der Übernachtungsgast	overnight guest 	übernachten + -ung + Gast , Übernachtungsgäste	2025-06-22 12:11:00
daneben schießen	to shoot off target		2025-06-22 12:14:00
bieten	to offer / provide / bid		2025-06-22 12:17:00
die Kleinigkeit 	little thing	Ich habe dir eine Kleinigkeit mitgebracht 	2025-06-22 12:20:00
buchen	to book		2025-06-22 12:23:00
der Arbeitnehmer	employee / worker	work-taker	2025-06-22 12:26:00
das Brett	wooden board / plank		2025-06-22 12:29:00
das Gerät	device / appliance / tool / equipment		2025-06-22 12:32:00
die Speise	dish / food		2025-06-22 12:35:00
populär	popular		2025-06-22 12:38:00
der Gast	guest		2025-06-22 12:41:00
bezahlen	to pay		2025-06-22 12:44:00
die Firma	company		2025-06-22 12:47:00
die Institution	institution		2025-06-22 12:50:00
fest	firm / fixed / steady		2025-06-22 12:53:00
anstellen	to employ / to hire		2025-06-22 12:56:00
das Ziel	goal / target / destination		2025-06-22 12:59:00
die Mahlzeit	meal time		2025-06-22 13:08:00
flach	flat		2025-06-22 13:11:00
die Latte	slat / bar / strip		2025-06-22 13:14:00
andere	other / another / different		2025-06-22 13:17:00
material	material		2025-06-22 13:20:00
der Ort	place / location		2025-06-22 13:23:00
der Gegenstand	object / item / topic	gegen+stand : against standing	2025-06-22 13:26:00
das Hilfsmittel	aid / help medium		2025-06-22 13:29:00
benutzen	to use / to make use of	be+nutzen	2025-06-22 13:32:00
herstellen	to produce / to create	her+stellen	2025-06-22 13:35:00
das Angebot	offer / proposal		2025-06-22 13:38:00
die Landschaft 	landscape / scenery / region		2025-06-22 13:41:00
das Tal	valley	Tälern	2025-06-22 13:44:00
übernachten	to stay overnight		2025-06-22 13:47:00
reservieren	to reserve		2025-06-22 13:50:00
Mittelwert	average / mean	mittel+wert : middle value	2025-06-22 13:53:00
salzig	salty		2025-06-22 13:56:00
länglich	elongated		2025-06-22 13:59:00
rund	round		2025-06-22 14:02:00
die Autoscheibe	car window		2025-06-22 14:08:00
das Glas 	glass		2025-06-22 14:11:00
der Wanderurlaub	hiking vacation		2025-06-22 14:14:00
der Strandurlaub	beach vacation		2025-06-22 14:17:00
der Cluburlaub	resort vacation		2025-06-22 14:20:00
der Schiurlaub	ski vacation		2025-06-22 14:23:00
der Abenteuerurlaub	adventure vacation		2025-06-22 14:26:00
die Kulturreise	cultural trip		2025-06-22 14:29:00
der Bauernhof	farm	Bauer + Hof	2025-06-22 14:32:00
die Städtereise	city trip		2025-06-22 14:33:00
der Campingurlaub	camping vacation		2025-06-22 14:35:00
die Weltreise	world trip		2025-06-22 14:38:00
ergänzen	to complete / to add / to fill in	ganz	2025-06-22 14:41:00
dabei	in the process / present / at it	da bei	2025-06-22 14:44:00
alles-inklusive-urlaub	all-inclusive vacation		2025-06-22 14:47:00
besichtigen	to visit / to tour		2025-06-22 14:50:00
die Sehenwürdigkeit	sight / attraction	sehen+würdig+keit	2025-06-22 14:53:00
die Stadt	city / town		2025-06-22 14:56:00
das Hotel	hotel		2025-06-22 15:02:00
sondern	but rather / but instead	Nicht Tee, sondern Kaffee	2025-06-22 15:05:00
das Zelt	tent		2025-06-22 15:08:00
das Wohnmobil	motorhome / RV (Recreational Vehicle)		2025-06-22 15:11:00
das Land	country / land	Länder	2025-06-22 15:14:00
die Präferenz	preference		2025-06-22 15:17:00
die Textproduktion	text production		2025-06-22 15:20:00
das Leseverstehen	reading comprehension		2025-06-22 15:23:00
fremd	foreign / unfamiliar		2025-06-22 15:24:00
die Urlaubsreise	vacation trip		2025-06-22 15:26:00
die Tabelle	table		2025-06-22 15:29:00
das Ostern	easter		2025-06-22 15:32:00
unterwegs	on the way	under way	2025-06-22 15:35:00
das Glück	luck / happiness		2025-06-22 15:38:00
der Campingplatz	campsite / campground		2025-06-22 15:41:00
die Jugendherberge	youth hostel	Jugend + Herberge : youth shelter	2025-06-22 15:44:00
der Strand	beach		2025-06-22 15:56:00
der Umweltschutz	environmental protection	shuyu	2025-06-22 17:13:28
erheben	to raise	er+heben , die Stimme erheben : to speak up / to raise voice	2025-06-23 14:26:09
stimmen	to tune / vote / voice / be correct		2025-06-23 14:29:09
die Strategie	strategy		2025-06-23 14:32:09
das Hindernis	obstacle / barrier	preventer	2025-06-23 14:35:09
hindern	to hinder / to prevent		2025-06-23 14:38:09
hemmen	to inhibit / to hinder / to slow down		2025-06-23 14:41:09
der Schwamm	sponge		2025-06-23 14:44:09
die Gewürzgurke 	pickled cucumber 	carlota - brot käse gewürz	2025-06-23 20:33:48
der/das Teil	part / piece	cro - ein teil von mir - simon	2025-06-24 05:52:28
für immer	forever	for always	2025-06-24 05:55:28
trocknen	to dry	ub temizlikci - die müssen trocknen	2025-06-24 05:58:28
der Agavendicksaft	agave syrup	sampagne	2025-06-24 06:01:28
das Bohnenkraut	savory herb	annso - bohnen+kraut : beans herb	2025-06-24 06:04:28
der Vogel	bird		2025-06-25 19:38:00
die Amsel	blackbird	clemens - fat black bird	2025-06-25 19:41:00
das Schimpfwort	swear word / insult		2025-06-25 19:44:00
der Rundergeburtstag	round birthday	simon - 30 40 … 	2025-06-25 19:47:00
der Nigersaurus	nigersaurus	simon - niger+saurus	2025-06-25 19:50:00
der Haushalt	household		2025-06-25 19:53:00
der Zungenbrecher	tongue twister	hannes	2025-06-26 19:13:00
die Braut	bride	simon - braut kleid blau kraut 	2025-06-26 19:14:00
das Kleid	dress		2025-06-26 19:17:00
blau	blue		2025-06-26 19:20:00
das Kraut	herb / cabbage		2025-06-26 19:23:00
verinnerlichen	to internalize		2025-06-26 19:26:00
die Laterne	lantern		2025-06-26 19:32:00
die Raubkopie	pirated copy	clemens	2025-06-26 19:35:00
das Säugetier	mammal		2025-06-26 19:54:00
säugen	to suckle / to nurse	tits	2025-06-26 19:57:00
die Kerze	candle	simon	2025-06-26 20:00:00
das Erz	ore	simon	2025-06-26 20:03:00
das Jochbein	cheekbone	simon	2025-06-26 20:06:00
das Freiheit	freedom	simon	2025-06-26 20:09:00
das Dorf	village		2025-06-26 20:12:00
der Späti	late-night shop / tekel	simon	2025-06-26 20:15:00
Frohes Schaffen!	happy working	clemens simon - working on bike -  kolay gelsin	2025-06-27 10:31:01
gutes lernen	iyi calismalar	random charging girl	2025-06-28 17:44:19
raussuchen	to search out	raus+suchen	2025-06-29 13:30:00
das Material	materials	Materialien	2025-06-29 13:33:00
nett	nice / kind		2025-06-29 13:36:00
der Grad	degree / level / grade /step	Temperaturgrad	2025-06-29 18:37:00
der Rückwärtssalto	backflip	simon	2025-06-29 18:40:00
Träum was schönes!	dream smth nice!	madita - das (et)was	2025-06-29 18:49:00
die Träne	tear	bananenbrot mit tränen	2025-06-29 20:49:00
der Gepäcktrager	luggage carrier	simon was holding one for his bike 	2025-06-29 20:52:00
die Kiste	box	chest	2025-06-29 21:32:00
die Heia	bed / sleep / sleepy time 	used with children	2025-06-29 21:37:00
der Macher!	doer / maker	ella	2025-06-30 04:31:00
abartig	abnormal	ab+art+ig : off type	2025-06-30 10:30:40
tropisch	tropical	giulia - küche so heiß	2025-06-30 16:34:00
machine	makina	luisa	2025-07-02 18:26:18
dito	same 	giulia	2025-07-02 21:06:03
aus die maus	maus off	simon	2025-07-02 21:09:03
Der frühe Vogel fängt den Wurm	the early bird catches the worm	simon fritz	2025-07-04 21:34:14
die Brennnessel	ısırgan otu	clemens simon - brennen+nessel	2025-07-04 21:37:14
das Bächle	little brook	carlota - wine fest , little water channels , marry freiburger 	2025-07-05 13:01:00
komisch	funny / strange	hannes	2025-07-06 17:32:00
külte	brown little thing like frog but not frog?	lea	2025-07-07 17:24:25
die Schnellfickerhose	quickie pants / fast fuck pants	simon - my thai pants 🥲	2025-07-07 17:35:00
schüchtern	shy / timid		2025-07-08 08:00:00
die Sehnsucht	x	mateo - sehnen+suct , yearning addiction	2025-07-09 20:05:00
eierlegende wollmilchsau	too good to be true	simon - proffessor , egg-laying wool-milk-pig 	2025-07-09 20:21:00
das Gewinnerfrühstück 	winner‘s breakfast	mateo	2025-07-10 11:03:00
Liebe geht durch den Magen 	 Magen love goes through the stomach 	carlota - my triple choc muffins	2025-07-10 17:22:08
nix wars	x	mateo	2025-07-10 17:25:08
püppchen	dolly	carlota	2025-07-10 17:28:08
Weltbildhauer:in 	world sculptor 	falkenberger sommerfest	2025-07-10 19:45:00
das Nudelholz	rolling pin	simon - noodel wood	2025-07-11 16:06:00
das Wellholz	rolling pin	simon - southern dialect	2025-07-11 16:09:00
auswellen	to roll out (dough)	simon - aus|wellen , to roll outward	2025-07-11 16:12:00
Herrgottsbescheisserle	maultasche (german dumpling)	josua - god cant see	2025-07-11 21:56:52
ebenso	likewise	konstantin	2025-07-13 18:57:19
durchschnorren	to mooch through (otlanmak)	madita - watermelon , ich schnorre mich durch	2025-07-13 19:00:19
schnurren	to purr	simon - cats	2025-07-13 19:03:19
schönes ding!	beautiful thing 	simon , felix - tingering tunes	2025-07-15 21:11:00
einem geschenkten Gaul schaut man nicht ins Maul 	don’t look a gift horse in the mouth 	simon - free bike	2025-07-15 21:12:00
der Gaul 	male horse	simon	2025-07-15 21:15:00
das Maul	animal mouth	simon	2025-07-15 21:18:00
Grüß Gott 	may god greet you	sirin	2025-07-15 21:39:00
der Spruch	quote	clemens - der spruch als wandtattoo	2025-07-18 17:33:00
das Wandtattoo	wall decal	clemens	2025-07-18 17:36:00
 gar nicht mal so übel 	not bad at all	madita - gar nicht schlect	2025-07-23 16:25:38
verstanden	understood	theo	2025-07-23 20:24:58
kraulen	to swim crawl (freestyle) / cat tickling 🤌🏻	simon	2025-07-26 20:30:51
das Volksfest	folk festival	simon - age 7 to 70 seepark 	2025-07-26 20:33:51
der Mietvertrag	rental contract	miet+vertrag	2025-07-30 12:23:00
die Annahmeerklärung	declaration of acceptance	theo - smth is in a certain way but you dont know - annahme+erklärung	2025-07-30 12:26:00
das Zimmerangebot	room offer		2025-07-30 12:29:00
die Haus- und Gebührenordnung	house and fee regulations		2025-07-30 12:32:00
die Widerrufsbelehrung	cancellation policy / withdrawal notice		2025-07-30 12:35:00
die Checkliste	checklist		2025-07-30 12:38:00
der Auszug	departure / moving out		2025-07-30 12:41:00
der Stress	stress		2025-07-30 14:56:00
gönnen	to allow/permit oneself	simon - ich gönne mir	2025-07-30 14:59:00
der Seitgenosse	someone living at the same time era	hannes - spd	2025-07-30 15:02:00
der Kuchen	cake	hannes - der kuchen ist lecker	2025-07-30 15:05:00
Gönnjamin	someone who treats themselves often	Annso - gönnen + Benjamin	2025-07-30 15:08:00
der Ständer	erection	hannes - stand+er	2025-07-30 15:11:00
der Steifen	erection	hannes - steif+en	2025-07-30 15:14:00
der Halbsteifen	partial erection	hannes - bike	2025-07-30 15:17:00
Kommiliton*in	fellow student		2025-07-30 15:20:00
Ich küsse dein Auge 	gözlerinden öperim	simon	2025-08-02 08:47:06
Bialetti	moka pot	giulia - italian company , alfonso bialetti 1933	2025-08-12 11:45:27
die Mokkakanne	moka pot	mokka + kanne	2025-08-12 11:48:27
is wie's is	it is what it is	giulia , simon	2025-08-14 17:30:00
ekelhaft	disgusting	giulia - trash	2025-08-15 17:27:40
schwitzig 	sweaty	giulia , clemens - run - schwitzen + ig	2025-08-19 17:36:13
angst vor morgen	fear of tomorrow		2025-08-21 20:23:00
doch doch	oh yes / indeed		2025-08-21 20:26:00
die Kippe	cigarette		2025-08-24 20:20:56
einladen	to invite	lädst..an	2025-08-27 12:44:56
fahren	to drive 	fährst	2025-08-27 12:47:56
geben	to give	gibst	2025-08-27 12:50:56
helfen	to help	hilfst	2025-08-27 12:53:56
sehen	to see	siehst	2025-08-27 12:56:56
tun	to do	tust	2025-08-27 12:59:56
die Sterne 	stars		2025-08-30 19:39:09
Sörschen! 	cheers	hannes	2025-08-30 19:41:00
die Bierdecke 	beermat / coaster	max	2025-08-30 19:42:09
ganz genau	exactly	hannes	2025-08-30 20:54:40
allergisch	allergic		2025-08-31 21:11:00
der Flughafen	airport	flug+hafen	2025-08-31 21:14:00
weit	far / wide		2025-08-31 21:17:00
die Karte	card / map / menu		2025-08-31 21:20:00
beruflich	professional / occupational		2025-09-01 08:22:48
auschecken	to check out	hotel	2025-09-01 08:25:48
krank	sick / ill		2025-09-01 08:28:48
das Krankenhaus	hospital		2025-09-01 08:31:48
verletzt	injured / hurt		2025-09-01 08:34:48
der Esel 	donkey		2025-09-01 08:37:48
der Wissenstransfer	knowledge transfer 		2025-09-01 12:00:00
dabei	there with	Nächstes Mal bin ich dabei	2025-09-05 18:00:00
das Konzert	concert	Gestern Abend war ich auf einem Jazz-Konzert auf dem Münsterplatz	2025-09-05 18:06:00
vorbeischauen 	to drop by / to visit	Aber danach möchte ich auf jeden Fall noch vorbeischauen	2025-09-05 18:09:00
vergehen 	to pass / to elapse 	Bei mir vergeht die Zeit auch sehr schnell und es passiert sehr viel	2025-09-05 18:12:00
fangen 	to catch	Bald fangen auch meine Prüfungen an – ich muss mich echt bemühen, die kostbare Zeit vernünftig einzusetzen	2025-09-05 18:15:00
bemühen 	to make an effort / to strive		2025-09-05 18:18:00
kostbare 	precious / valuable		2025-09-05 18:21:00
vernünftig 	reasonable / sensible		2025-09-05 18:24:00
einzusetzen 	to use / to deploy		2025-09-05 18:27:00
die Weile 	while / short time	es ist schon eine Weile her, und ich freue mich total, endlich wieder einen Brief zu schreiben	2025-09-05 18:30:00
endlich	finally	Ende + -lich	2025-09-05 18:33:00
vorher 	before	vor + her , Morgen fliege ich in die Türkei, und ich wollte noch vorher schreiben	2025-09-05 18:36:00
erwähnen	to mention	er- + wähnen , Ich hab ein Highlight, das ich unbedingt erwähnen will: Ich habe die Kandel-Wanderung gemacht	2025-09-05 18:39:00
die Burgruinen	castle ruins	Ich bin in Waldkirch gestartet und dann zu den Burgruinen gegangen	2025-09-05 18:42:00
der Aufstieg 	ascenz / rise	auf + Stieg , Dann hab ich einen krassen Aufstieg zur Thomashütte unternommen	2025-09-05 18:45:00
der Felsen	rock / cliff		2025-09-05 18:48:00
der Hammer	hammer	So ein schöner Felsen, wow! Es war echt der Hammer.	2025-09-05 18:51:00
der Spot 	spot		2025-09-05 18:54:00
der Rückweg 	way back	Mein Handy war auf dem Rückweg tot, also habe ich den Rest blind genossen	2025-09-05 18:57:00
der Rest	rest / remainder		2025-09-05 19:00:00
motivieren	to motivate	Du motivierst mich echt, noch mehr Gas zu geben	2025-09-05 19:03:00
das Gas	gas	Du motivierst mich echt, noch mehr Gas zu geben.	2025-09-05 19:06:00
das Versprechen	promise	vor lauter aufregung habe ich das deutsche Versprechen vergessen, das ich gemacht habe.	2025-09-16 14:17:12
erhalten	to receive / to get	Diesen hier erhältst du erst, wenn du wieder zurück bist – melde dich dann gerne bei mir :) wegen der Core-Workouts.	2025-09-17 06:10:37
fallen	to fall	Mir fällt es manchmal schwer, mich konsequent an den Schreibtisch zu setzen und zu lernen.	2025-09-17 06:13:37
konsequent	consistent / persistent	latin „consequens“ following	2025-09-17 06:16:37
setzen	to set / to put / to place	sich setzen - to sitdown	2025-09-17 06:19:37
Mal sehen,	we’ll see / let’s see	Mal sehen, wie die nächsten Wochen laufen. 	2025-09-17 06:22:37
die Vernissage	art exhibition opening	from french - vernis: varnish (artists varnish paintings before display) - Meine kleine Schwester hat dort die Vernissage von ihrer Kunst-Ausstellung. 	2025-09-17 06:25:37
die Ausstellung	exhibition	aus+stellen+ung : out placing	2025-09-17 06:28:37
grauen	to dread 	Mir graut es schon ein bisschen vor der dunklen, kalten Jahreszeit. 	2025-09-17 06:31:37
schlagen	to hit / to beat	Das schlägt manchmal ein bisschen auf meine Stimmung. 	2025-09-17 06:34:37
die Stimmung	mood / atmosphere	stimmen+ung : tune	2025-09-17 06:37:37
ab jetzt	from now on		2025-09-17 06:40:37
sich anfühlen	to feel (like)		2025-09-17 06:43:37
packen	to pack		2025-09-17 06:46:37
segeln	to sail		2025-09-17 06:49:37
die Oma	grandma		2025-09-17 06:52:37
das Schwimmbrett	kickboard		2025-09-17 06:55:37
vermissen	to miss		2025-09-17 06:58:37
der Verkehr	traffic / transport		2025-09-17 07:01:37
der Tapetenwechsel	wallpaper change / change of scenery		2025-09-17 07:04:37
erwarten	to wait until completion		2025-09-17 07:07:37
sobald	as soon as		2025-09-17 07:10:37
die Einheit	unity	Tag der Deutschen Einheit - 3. Oktober	2025-09-17 07:13:37
verschlimmbessern	trying to make smth good but worse	clemens	2025-09-19 15:16:01
aufzuschieben	to postpone	Ich war dabei, den Antwortbrief aufzuschieben, aber dein Halbmarathon auf Strava hat mich aus dem Bett springen lassen. 	2025-09-21 20:01:32
zum wohl	cheers	instead of prost when wine	2025-09-22 19:17:00
schnitlauch	x	carlota	2025-09-22 20:40:33
gekonnt ignoriert	skillfully ignored	carlota	2025-09-26 19:23:38
Zwetschgensaft	plum juice	madita	2025-09-26 20:13:00
compansieren	to compansate	clemens	2025-09-29 19:45:00
der Halbmarathon 	half marathon	Ja, ich bin auch ein bisschen stolz auf meinen Halbmarathon.	2025-10-02 15:57:40
vornehmen (sich etw. vornehmen)	to plan, resolve, undertake	Ich hatte mir keine Ziel-Zeit vorgenommen, sondern wollte es einfach mal probieren.	2025-10-02 17:01:09
letztlich	ultimately, in the end	Letztlich war ich zwar langsamer als auf meinen kürzeren Läufen, aber trotzdem schneller als ich gedacht hätte. 	2025-10-02 17:04:09
dazu	in addition, furthermore 	Und dazu noch relativ konstant zügig – also ohne große Tempo-Varianten. 	2025-10-02 17:07:09
zügig	brisk, speedy, prompt 		2025-10-02 17:10:09
die Variante	variation		2025-10-02 17:13:09
währenddessen	meanwhile, during that time 	Ich hatte währenddessen und danach keine körperlichen Beschwerden! 	2025-10-02 17:16:09
körperlich	bodily, physical 		2025-10-02 17:19:09
die Beschwerde	complaint 		2025-10-02 17:22:09
der Mucks 	a peep, tiny sound 	Mein Knie hat keinen Mucks gemacht. 	2025-10-02 17:25:09
gescheit 	proper	Ich habe mich auch echt bemüht, mich gescheit aufzuwärmen und danach richtig zu dehnen. 	2025-10-02 17:28:09
aufwärmen (sich aufwärmen) 	to warm up 		2025-10-02 17:31:09
dehnen (sich dehnen) 	to stretch 		2025-10-02 17:34:09
erstaunlich	astonishing, amazing 	Mein Frankfurt-Besuch war erstaunlich schön. 	2025-10-02 17:37:09
die Schwester 	sister	Ich habe mich sehr gefreut, meine Schwester, Familie und Freunde zu sehen. 	2025-10-02 17:40:09
einzig 	single	… und hatte keine einzige Minute für die Uni gelernt.	2025-10-02 17:43:09
leicht	light, mild, slight 	Heute morgen bin ich mit leichten Erkältungssymptomen aufgewacht. 	2025-10-02 17:46:09
die Erkältung	cold		2025-10-02 17:49:09
das Symptom	symptom		2025-10-02 17:52:09
aufwachen	to wake up 		2025-10-02 17:55:09
schonen (sich schonen) 	to take care of oneself, rest 	Vielleicht mache ich heute mal langsam, bleibe zu Hause, schone mich und beobachte meinen Körper. 	2025-10-02 17:58:09
Klatsch	clap	Klatsch klatsch … welche Übungen machst du eigentlich fürs Knie, frage ich mich…? 	2025-10-02 19:41:06
eigentlich	actually, really, in fact	eigen 	2025-10-02 19:44:06
symmetrisch	symmetrisch	Es ist symmetrisch, außer dem Tisch. 	2025-10-02 19:47:06
die Skizze	sketch	Hab auf einer anderen Seite ne Skizze gemacht. 	2025-10-02 19:50:06
der Schuh	shoe	keine Schuhe mehr hier drin, nur Socken. 	2025-10-02 19:53:06
drin (drinnen) 	inside		2025-10-02 19:56:06
die Socke	sock		2025-10-02 19:59:06
die Entscheidung 	decision	Finde ich eine sehr gute Entscheidung. 	2025-10-02 20:02:06
markieren	to mark, highlight 	Ich habe meinen Weg schwarz markiert und deiner grün. 	2025-10-02 20:05:06
die Kurve	curve, bend 	Außerdem hat er weniger Kurven. 	2025-10-02 20:08:06
schwanken	to waver, fluctuate, be undecided 	Ich schwanke sehr, ob ich zum Kurs gehe oder nicht. 	2025-10-02 20:11:06
der Schlüssel 	key	“Der Schlüssel zu einem glücklichen Leben sind niedrige Erwartungen.” kommt mir immer wieder in den Kopf. 	2025-10-02 20:14:06
die Erwartung	expectation		2025-10-02 20:17:06
überlegen	to consider / think about	Ich überlege, dieses Semester Parkour im Hochschulsport zu machen. 	2025-10-02 20:20:06
der Verdauungsspaziergang	digestive walk	charlotte lea	2025-10-03 20:23:45
die Zimtschnecke	cinnamon roll	theo	2025-10-03 20:26:45
der Zimt	cinnamon		2025-10-03 20:29:45
die Schnecke	snail	sirin	2025-10-03 20:32:45
himmlisch	heavenly		2025-10-03 20:35:45
das Schäufele	pork shoulder		2025-10-07 20:09:00
die Schaufel	shovel		2025-10-07 20:12:00
makaber	macabre / grim / ghastly	simon	2025-10-08 20:03:00
kafkaesk	kafkaesque	simon	2025-10-08 20:06:00
die Grundsicherung	basic security / basic income support	tagesschau	2025-10-09 18:30:00
die Rente	pension / retirement income	tagesschau	2025-10-09 18:33:00
die Infrastruktur	infrastructure	tagesschau	2025-10-09 18:36:00
die Leistungskürzung	benefit cut / service reduction	tagesschau	2025-10-09 18:37:00
der Moderator	moderator / host	tagesschau	2025-10-09 18:38:00
einladen	to invite	tagesschau	2025-10-09 18:39:00
einlaufen 	arrive / schrink / break in	tagesschau	2025-10-09 18:42:00
ich hab mich drum gekümmert 	I took care of it / I handled it 	madita	2025-10-09 20:45:00
da wird ja der Hund in der Pfanne verrückt 	that’s unbelievable / that’s insane 	simon	2025-10-09 20:48:00
das Widerstandsband	resistance band	Ich mache welche mit einem Widerstandsband und mit dem Gymnastik-Ball.	2025-10-12 20:10:12
der Platz	place	Bei #302 sieht es so aus, als wäre weniger Platz zwischen Bett und Schreibtischplatz.	2025-10-12 20:13:12
sich wohl fühlen	to feel comfortable	Schön, dass es dir gefällt und dass du dich wohl fühlst! 	2025-10-12 20:16:12
etwas für [Adjektiv] halten	to consider something [adjective]	Und das Zimmer zur schuhfreien Zone zu erklären halte ich für sehr weise	2025-10-12 21:01:57
die Aufzeichnung	recording	Ich musste sehr schmunzeln über deine Uni-Weg-Aufzeichnung	2025-10-12 21:04:57
die Ampeln	traffic lights 	Weniger Ampeln sind tatsächlich ein großes Zeitersparnis.	2025-10-12 21:07:57
die Zeitersparnis	time saving		2025-10-12 21:10:57
dafür	for that, instead 	Und: auf meinem Weg gibt es zwar Autos, aber dafür keine Fußgänger!	2025-10-12 21:13:57
besonders	especially	Und die finde ich besonders nervig, weil sie so langsam sind	2025-10-12 21:16:57
nervig	annoying		2025-10-12 21:19:57
das Verständnis	understanding	Aber ich habe Verständnis für deine Präferenz	2025-10-12 21:22:57
schade	too bad	Ouuu... schade, dass deine Deutschlehrerin nicht so cool ist.	2025-10-12 21:25:57
wunderbar	wonderful	Parkour klingt wunderbar! 	2025-10-12 21:28:57
rechtzeitig	on time	Rechtzeitig anmelden nicht vergessen, sonst ist der Kurs bestimmt schnell voll.	2025-10-12 21:31:57
sich anmelden 	to register / sign up 		2025-10-12 21:34:57
sonst	otherwise		2025-10-12 21:37:57
bestimmt	definitely	Rechtzeitig anmelden nicht vergessen, sonst ist der Kurs bestimmt schnell voll.	2025-10-12 21:40:57
die Prüfung	exam	Meine erste Prüfung am Donnerstag lief sehr gut.	2025-10-12 21:43:57
vorbei sein 	to be over, to be finished 	Jetzt muss ich aber nochmal fleißig sein, Freitag ist es dann endlich vorbei	2025-10-12 21:46:57
aussteigen	to get off, to get out (of a vehicle)	langsame Fußgänger, welche die aus Straßenbahn aussteigen	2025-10-15 07:35:41
steigen	to climb, to step, to go up or down		2025-10-15 07:38:41
die Faulheit	lazinesd	anastasia	2025-10-15 07:41:41
köstlich	delicious, exquisite, delightful 	ella - für mein bananenbrot	2025-10-22 12:05:07
ich glaub mein Schwein pfeift 	my pig is whistlin	simon - when u mad	2025-10-22 19:30:23
äußerst 	extremely, highly	außer-st	2025-10-22 19:33:23
gelungen	successful, well done 	used with sein	2025-10-22 19:36:23
sparen	save		2025-10-22 19:39:23
die Stelle 	place, position, spot, job 		2025-10-22 19:42:23
die Anzeige 	advertisement, report, display 		2025-10-22 19:45:23
die Bewerbung 	application		2025-10-22 19:48:23
der Krankenpfleger	male nurse, caregiver 		2025-10-22 19:51:23
die Ehefrau	wife		2025-10-22 19:54:23
 eilig	in a hurry, urgent 		2025-10-22 19:57:23
das Arschloch 	asshole	mama carlotsky - wine tasting abend musik lol	2025-10-25 20:54:00
ich mach keine halben sachen	end wieder ganz oder gar bicht	clemens	2025-10-25 20:57:00
